,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,channel 9,channel 10,channel 11,channel 12,channel 13,channel 14,channel 15,channel 16,channel 17,channel 18
0,814,1097,656,674,602,1074,1207,720,0.811767578125,0.50396728515625,0.2454833984375,-0.16363525390625,-1.302734375,0.40966796875,0.31689453125,5.5,2.5,-7.6875
0,806,982,600,656,401,772,1030,670,0.81732177734375,0.4964599609375,0.2423095703125,-0.16351318359375,-0.34716796875,0.7607421875,1.04638671875,-14.75,2.375,-8.125
0,697,657,569,601,193,257,710,279,0.8184814453125,0.48992919921875,0.247314453125,-0.1697998046875,-1.01611328125,0.39794921875,0.7275390625,-4.0625,-1.5625,-16.0625
0,390,187,503,500,155,233,294,197,0.81707763671875,0.4881591796875,0.2523193359375,-0.1741943359375,-0.89013671875,0.8505859375,0.298828125,-12.3125,-1.1875,-29.0625
0,238,125,486,411,137,171,241,131,0.8165283203125,0.4847412109375,0.2569580078125,-0.17950439453125,-0.69775390625,0.8369140625,0.4970703125,-10.125,5.625,-43.8125
0,179,124,475,361,140,170,343,111,0.8143310546875,0.48590087890625,0.257080078125,-0.18609619140625,-0.4736328125,0.64794921875,0.5439453125,29.5,-3.5625,-35.875
0,165,199,470,336,276,300,490,111,0.81201171875,0.494873046875,0.24810791015625,-0.18450927734375,-0.0234375,0.9580078125,0.34423828125,46.9375,-10.625,4.875
0,144,199,438,298,354,306,501,150,0.812255859375,0.494140625,0.2493896484375,-0.183837890625,-0.52685546875,0.73486328125,0.38525390625,-7.3125,8.125,-5.3125
0,144,214,335,304,530,438,519,190,0.8145751953125,0.4908447265625,0.248046875,-0.18438720703125,-0.6005859375,0.53759765625,0.64453125,-2.5,-4.8125,6.6875
0,349,277,443,352,630,618,574,405,0.80841064453125,0.4967041015625,0.2548828125,-0.186279296875,-0.86767578125,0.38623046875,-0.3681640625,11.8125,3.5,0.375
0,420,366,567,493,727,885,629,632,0.81536865234375,0.4893798828125,0.24969482421875,-0.18231201171875,-0.27978515625,0.8564453125,1.11767578125,-22.0,7.5625,8.3125
0,580,523,777,640,732,965,589,797,0.81195068359375,0.49493408203125,0.25164794921875,-0.17987060546875,-0.73388671875,0.7001953125,-0.158203125,3.1875,0.5,18.3125
0,635,717,974,779,782,1082,701,994,0.80877685546875,0.49749755859375,0.2548828125,-0.18255615234375,-0.6025390625,0.3740234375,0.35986328125,29.5625,13.6875,-6.9375
0,642,789,1071,931,794,1230,730,1055,0.79693603515625,0.51690673828125,0.2501220703125,-0.18731689453125,0.25634765625,0.63330078125,1.63330078125,135.5625,1.75,7.1875
0,568,785,1026,961,921,1276,812,1000,0.78662109375,0.52935791015625,0.24932861328125,-0.19683837890625,-0.4609375,0.5673828125,-0.71044921875,53.0,-43.0625,-35.0625
0,528,746,965,939,1059,1225,785,914,0.7723388671875,0.54693603515625,0.24517822265625,-0.2100830078125,-1.2431640625,0.46630859375,-0.5849609375,136.3125,-31.125,-27.5625
0,357,643,820,856,1069,1220,792,789,0.77410888671875,0.55120849609375,0.23486328125,-0.20416259765625,-0.1640625,1.17333984375,0.64208984375,28.4375,-0.6875,26.9375
0,259,472,695,775,1021,1208,724,557,0.77740478515625,0.5498046875,0.2333984375,-0.197021484375,-0.4931640625,1.22216796875,-0.0615234375,-52.625,-2.75,14.625
0,242,363,567,573,947,1028,688,454,0.78192138671875,0.545166015625,0.23175048828125,-0.19390869140625,-0.3935546875,0.77490234375,0.02587890625,-52.125,-16.125,7.8125
0,233,353,571,516,769,1067,615,496,0.78369140625,0.5418701171875,0.23199462890625,-0.1956787109375,-0.70751953125,0.5771484375,0.35888671875,-11.5,-11.25,3.1875
0,255,428,647,525,437,992,532,508,0.78228759765625,0.54364013671875,0.23052978515625,-0.19805908203125,-0.4892578125,0.67041015625,0.3388671875,20.9375,-6.8125,-6.1875
0,244,495,687,598,433,1076,496,519,0.78082275390625,0.546142578125,0.2293701171875,-0.19818115234375,-0.5361328125,0.884765625,0.2734375,13.375,-0.875,-2.625
0,240,484,637,618,433,1023,444,489,0.78216552734375,0.5443115234375,0.23028564453125,-0.197021484375,-0.533203125,0.83935546875,0.271484375,-18.375,3.375,-3.8125
0,247,467,604,611,429,1074,486,531,0.78961181640625,0.53656005859375,0.22528076171875,-0.1944580078125,-0.1259765625,0.80224609375,0.80224609375,-30.8125,-4.1875,-0.125
0,245,460,587,599,413,911,413,495,0.7938232421875,0.5333251953125,0.2200927734375,-0.19219970703125,-0.08203125,0.900390625,0.69189453125,-8.875,-0.375,-4.125
0,227,475,616,593,436,969,401,429,0.78741455078125,0.5379638671875,0.2271728515625,-0.19720458984375,-1.07373046875,0.4326171875,-0.22314453125,17.75,-3.125,-5.9375
0,224,403,595,530,341,810,328,394,0.7926025390625,0.53326416015625,0.22064208984375,-0.1966552734375,-0.14013671875,0.8828125,1.1142578125,8.125,0.6875,-5.125
