channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
30,34,31,27,32,30,33,30,Rest
24,29,27,24,29,29,30,26,Rest
23,25,25,21,25,24,28,25,Rest
22,24,25,23,24,24,26,23,Rest
22,26,24,22,24,21,24,24,Rest
21,26,23,21,23,21,24,23,Rest
21,25,23,26,22,20,26,22,Rest
20,26,23,25,21,21,24,22,Rest
18,25,20,26,21,20,23,21,Rest
23,25,21,25,20,19,24,23,Rest
21,23,22,26,22,20,25,21,Rest
21,25,24,25,24,23,28,29,Rest
23,26,27,23,31,30,30,31,Rest
23,27,27,25,33,30,30,32,Rest
25,26,25,24,30,29,27,26,Rest
22,24,23,22,26,24,24,27,Rest
22,24,23,23,26,24,22,27,Rest
21,25,23,22,22,24,24,30,Rest
19,23,24,23,23,23,24,29,Rest
21,23,25,24,26,22,24,27,Rest
20,23,25,22,26,25,27,28,Rest
26,26,28,25,24,23,23,23,Rest
26,24,30,24,25,25,21,21,Rest
27,26,29,25,24,23,22,20,Rest
24,26,27,25,24,21,23,20,Rest
25,25,28,24,23,26,21,22,Rest
23,25,28,24,25,25,21,22,Rest
24,25,24,21,25,24,21,22,Rest
24,22,24,23,23,26,20,23,Rest
24,25,23,24,24,26,22,23,Rest
24,27,26,24,25,24,25,26,Rest
24,26,26,26,24,25,25,27,Rest
25,27,27,27,25,24,25,27,Rest
25,25,28,25,24,24,23,27,Rest
25,26,24,24,25,24,23,24,Rest
24,28,25,23,25,23,21,22,Rest
23,27,27,20,25,25,20,20,Rest
23,27,24,21,26,25,21,21,Rest
23,28,23,21,27,25,21,22,Rest
22,28,25,25,25,26,21,22,Rest
24,28,27,25,24,26,22,22,Rest
24,27,24,26,26,24,22,24,Rest
25,27,26,27,24,24,23,24,Rest
25,26,25,25,26,24,22,25,Rest
23,25,24,24,27,25,22,25,Rest
22,26,25,23,26,26,24,24,Rest
22,27,25,25,26,28,24,26,Rest
20,26,26,25,27,26,23,25,Rest
24,26,26,25,25,26,23,24,Rest
25,24,26,25,24,25,24,25,Rest
25,22,25,23,23,24,24,22,Rest
25,24,24,23,24,25,22,22,Rest
25,24,25,23,24,27,23,23,Rest
25,25,25,25,24,26,20,24,Rest
24,26,26,25,25,24,20,23,Rest
24,24,27,24,24,24,22,24,Rest
25,23,25,24,23,22,21,23,Rest
24,25,26,26,23,21,21,23,Rest
23,27,24,21,23,24,26,25,Rest
21,25,27,23,25,24,23,23,Rest
21,28,26,21,21,25,24,23,Rest
22,28,26,21,24,28,23,22,Rest
23,28,26,22,25,27,24,21,Rest
23,28,27,21,27,28,23,22,Rest
23,29,26,23,26,27,24,21,Rest
25,27,28,23,27,28,21,20,Rest
23,25,26,23,27,25,22,22,Rest
20,23,26,21,25,25,22,25,Rest
20,23,25,24,27,23,22,25,Rest
21,24,26,25,26,24,21,25,Rest
24,26,25,22,25,24,22,23,Rest
22,28,24,25,26,25,23,26,Rest
22,29,23,25,24,23,23,25,Rest
23,30,24,24,24,25,23,25,Rest
25,31,22,26,21,25,24,23,Rest
23,29,23,26,22,23,23,24,Rest
24,27,25,24,24,23,20,23,Rest
22,26,26,23,24,23,21,23,Rest
22,23,25,21,26,21,21,22,Rest
23,23,26,21,27,23,21,22,Rest
20,23,23,23,25,24,24,22,Rest
23,23,24,22,25,23,24,20,Rest
25,25,23,23,24,23,23,22,Rest
26,24,24,25,24,24,22,21,Rest
24,25,25,25,22,24,24,25,Rest
22,26,26,25,24,25,24,27,Rest
23,27,24,24,22,23,22,25,Rest
22,27,25,24,23,22,22,24,Rest
22,25,25,24,24,24,23,26,Rest
22,24,25,24,24,24,22,23,Rest
24,23,25,25,25,26,21,25,Rest
25,25,24,24,25,24,21,23,Rest
25,22,24,23,25,25,21,24,Rest
24,23,23,24,26,26,20,26,Rest
21,26,22,23,27,25,22,26,Rest
22,26,24,24,27,25,23,25,Rest
22,28,25,23,27,24,23,27,Rest
21,28,27,24,24,22,23,26,Rest
21,26,28,25,27,23,24,25,Rest
21,26,26,24,27,23,23,26,Rest
20,27,25,23,25,24,22,25,Rest
20,27,24,23,24,25,22,21,Rest
20,27,24,24,25,26,22,23,Rest
20,26,24,23,24,27,22,24,Rest
22,27,26,22,23,28,21,22,Rest
20,25,26,25,25,26,20,25,Rest
21,26,27,24,24,27,19,24,Rest
23,27,26,24,24,25,20,24,Rest
22,27,26,26,25,24,20,25,Rest
24,27,27,24,24,24,22,24,Rest
25,28,27,23,25,23,22,22,Rest
23,26,25,23,26,21,23,22,Rest
23,26,26,23,25,21,22,21,Rest
21,26,27,21,23,19,22,21,Rest
21,26,26,21,23,19,22,21,Rest
22,26,27,24,21,19,22,23,Rest
23,26,27,26,22,23,22,23,Rest
26,26,25,26,22,24,22,22,Rest
25,25,25,26,23,24,23,24,Rest
23,25,25,25,23,24,25,22,Rest
20,25,26,23,24,23,24,22,Rest
21,24,26,23,27,23,25,23,Rest
22,25,26,25,26,25,23,21,Rest
24,25,26,24,27,25,20,24,Rest
25,25,25,25,25,23,19,24,Rest
23,23,26,22,23,22,25,21,Rest
23,25,25,23,24,21,25,22,Rest
23,26,25,22,25,24,22,25,Rest
22,25,26,22,26,24,22,25,Rest
24,26,24,26,27,27,21,25,Rest
25,26,23,26,26,26,23,26,Rest
24,26,25,23,25,23,22,26,Rest
25,26,25,24,24,24,23,26,Rest
23,25,25,21,23,23,23,27,Rest
24,25,26,21,23,24,24,26,Rest
26,23,25,23,24,26,23,28,Rest
23,23,24,24,25,24,27,28,Rest
23,24,27,23,24,23,27,26,Rest
25,23,28,24,24,26,25,25,Rest
25,24,28,22,25,23,26,23,Rest
26,24,27,20,24,27,23,21,Rest
26,23,25,21,25,25,24,21,Rest
24,24,26,23,24,22,22,26,Rest
25,25,26,22,25,23,22,25,Rest
26,25,25,24,25,21,21,25,Rest
25,24,24,23,24,21,20,26,Rest
24,24,23,23,25,21,19,26,Rest
24,24,23,24,22,22,20,24,Rest
26,24,24,21,22,23,22,25,Rest
26,25,24,21,23,23,25,25,Rest
23,26,24,24,26,22,24,25,Rest
26,23,26,23,26,24,23,24,Rest
26,24,24,24,24,25,22,24,Rest
26,25,24,25,26,24,21,23,Rest
24,27,25,25,24,22,22,21,Rest
22,29,27,25,25,21,22,22,Rest
23,29,26,25,23,20,24,23,Rest
21,28,26,25,22,23,23,22,Rest
24,26,26,24,23,24,23,21,Rest
22,25,24,23,23,26,23,21,Rest
21,25,24,24,24,27,24,19,Rest
23,26,24,23,26,26,24,19,Rest
23,23,23,25,27,26,24,22,Rest
21,24,24,24,27,27,24,23,Rest
22,25,25,23,25,25,22,24,Rest
21,25,26,23,27,24,21,24,Rest
20,24,25,21,24,24,22,23,Rest
23,23,24,22,25,24,20,21,Rest
22,22,23,23,25,23,22,20,Rest
22,23,22,25,21,22,22,23,Rest
23,23,23,26,23,22,24,21,Rest
23,24,20,24,23,21,23,22,Rest
23,22,21,24,25,24,24,23,Rest
23,23,23,21,25,23,24,23,Rest
22,24,23,22,24,23,23,24,Rest
20,24,25,24,25,23,24,23,Rest
20,22,22,23,26,24,24,22,Rest
21,23,23,25,26,26,24,21,Rest
21,22,25,24,27,26,23,24,Rest
21,20,23,25,26,27,22,25,Rest
20,22,25,24,26,27,22,24,Rest
22,22,27,24,26,28,21,25,Rest
23,24,25,22,23,25,21,23,Rest
26,24,23,23,23,24,21,22,Rest
24,24,22,23,22,23,22,21,Rest
26,24,26,23,25,24,22,21,Rest
25,25,27,24,24,24,22,22,Rest
24,27,26,24,26,25,24,21,Rest
24,28,30,23,26,26,22,21,Rest
24,28,27,24,25,24,24,22,Rest
24,26,25,24,25,26,24,21,Rest
25,26,26,23,25,28,23,21,Rest
22,24,27,24,24,28,25,22,Rest
20,25,27,23,24,26,25,21,Rest
22,27,27,25,23,24,23,23,Rest
23,26,26,24,25,23,23,22,Rest
25,27,26,24,26,22,22,22,Rest
26,26,26,26,26,25,25,23,Rest
26,26,26,24,25,26,23,24,Rest
24,27,25,25,23,27,25,24,Rest
24,27,25,24,21,27,22,24,Rest
25,26,23,23,25,24,23,24,Rest
23,25,22,22,26,24,23,23,Rest
24,26,22,21,26,25,22,25,Rest
25,26,23,23,27,25,21,25,Rest
24,25,24,23,25,26,22,24,Rest
21,23,25,23,25,25,23,26,Rest
25,23,25,23,24,24,22,26,Rest
24,23,26,23,26,23,23,23,Rest
22,25,26,23,25,23,23,24,Rest
24,25,26,24,24,25,23,22,Rest
23,27,28,26,25,25,24,23,Rest
21,27,28,25,27,23,24,23,Rest
26,23,29,25,27,23,21,22,Rest
25,22,27,23,26,21,21,23,Rest
25,22,28,23,26,21,20,22,Rest
26,24,26,24,27,23,21,24,Rest
26,25,26,24,28,24,22,24,Rest
25,25,25,24,35,24,21,23,Rest
24,28,26,25,41,26,21,23,Rest
26,29,28,34,75,27,22,24,Rest
25,27,27,46,143,29,23,22,Rest
23,28,30,47,153,30,25,24,Rest
23,31,30,49,153,31,27,25,Rest
23,29,30,49,154,29,26,24,Rest
23,28,27,30,75,26,24,27,Rest
24,26,23,28,51,25,23,27,Rest
24,24,22,24,47,22,21,26,Rest
24,24,22,24,40,24,24,26,Rest
23,24,24,23,31,24,23,25,Rest
23,26,27,24,30,22,21,25,Rest
21,27,26,22,27,24,23,24,Rest
24,27,23,23,26,24,23,24,Rest
24,28,24,21,24,24,21,25,Rest
25,27,25,21,24,22,23,25,Rest
25,28,26,22,23,20,22,25,Rest
27,30,25,22,23,21,22,22,Rest
25,28,28,23,21,21,22,23,Rest
27,28,31,24,25,22,23,21,Rest
24,28,22,21,21,24,22,23,Rest
23,28,22,22,24,24,22,22,Rest
21,28,22,23,24,21,22,21,Rest
20,27,23,26,25,23,21,22,Rest
21,27,24,27,26,22,21,24,Rest
21,26,26,27,24,23,22,24,Rest
21,27,25,24,26,22,26,25,Rest
21,26,24,23,27,22,26,25,Rest
21,23,24,25,26,22,25,24,Rest
22,24,25,24,25,23,26,23,Rest
24,25,22,23,25,21,26,22,Rest
25,26,24,23,23,23,23,21,Rest
28,27,24,22,24,21,24,21,Rest
25,26,24,21,24,23,22,22,Rest
23,26,25,24,25,22,23,21,Rest
23,24,25,25,25,22,23,19,Rest
23,26,24,24,26,22,24,20,Rest
22,23,25,23,24,23,22,19,Rest
22,23,23,24,24,22,25,18,Rest
22,24,24,22,25,24,23,22,Rest
23,25,24,22,26,23,22,25,Rest
25,23,24,22,27,22,21,27,Rest
25,25,26,21,28,24,22,26,Rest
22,24,29,21,28,27,22,24,Rest
23,23,28,22,27,24,23,24,Rest
21,23,27,21,26,25,23,23,Rest
23,23,25,22,25,22,24,23,Rest
23,23,25,22,26,23,21,24,Rest
26,22,24,22,24,19,22,22,Rest
26,24,24,24,26,21,20,25,Rest
25,25,26,25,25,20,22,23,Rest
23,24,26,26,25,22,22,22,Rest
23,27,27,26,26,22,23,21,Rest
21,25,26,26,23,23,25,22,Rest
22,25,24,26,23,25,24,24,Rest
22,26,23,26,22,24,23,24,Rest
23,25,26,23,22,24,23,25,Rest
