channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
22,23,24,28,65,30,25,21,
22,22,23,27,33,30,27,21,
22,20,24,27,45,30,27,21,
23,23,23,29,125,29,27,23,
23,22,24,29,144,29,28,24,
26,23,26,30,146,32,26,24,
28,24,30,31,149,39,26,23,
27,25,29,33,151,40,25,23,
24,25,28,31,111,39,26,24,
26,26,28,31,86,40,27,23,
25,25,27,31,88,38,26,24,
36,27,27,27,98,34,28,25,
38,28,29,28,103,34,27,26,
38,28,29,26,110,30,27,25,
38,27,29,24,107,34,27,24,
34,25,28,24,103,36,26,21,
26,20,26,23,46,36,25,20,
23,21,23,24,62,30,26,22,
23,21,25,23,66,29,26,23,
24,24,26,26,68,36,27,25,
22,26,25,27,75,36,29,26,
22,26,23,26,77,36,28,25,
22,27,26,28,69,40,27,26,
23,27,24,29,96,43,28,26,
33,26,26,29,111,50,28,26,
34,26,29,31,115,69,29,26,
36,27,31,33,112,92,36,29,
37,25,30,31,130,97,40,31,
37,27,29,37,134,96,38,36,
29,26,34,45,183,95,48,36,
34,31,35,52,201,91,57,35,
40,35,36,134,334,94,69,38,
47,37,58,292,377,265,83,42,
54,43,60,356,409,355,103,48,
53,46,79,395,427,443,115,53,
63,50,85,486,642,531,133,69,
70,56,89,514,668,604,150,86,
70,58,97,594,675,601,172,90,
97,88,156,697,732,545,191,116,
158,120,171,782,727,507,213,173,
164,124,186,945,816,473,217,173,
171,133,191,903,809,453,220,178,
184,132,166,876,884,461,224,192,
138,112,176,863,783,465,223,151,
133,111,186,772,737,461,212,147,
148,113,179,750,718,560,180,136,
146,109,173,780,621,590,178,141,
137,105,156,846,672,614,174,122,
113,94,154,788,647,531,164,112,
117,95,154,779,603,465,152,116,
117,97,162,711,597,494,152,114,
120,100,167,804,627,536,146,117,
108,88,136,644,628,592,128,112,
136,102,135,619,575,568,192,134,
127,96,127,676,603,567,188,122,
146,110,134,679,599,587,196,134,
149,113,140,713,586,611,204,138,
136,117,137,752,659,637,158,121,
154,120,133,715,625,640,187,135,
150,121,152,771,594,618,184,138,
169,120,152,795,652,539,205,154,
180,128,153,790,738,494,217,161,
174,116,164,793,714,483,219,159,
162,112,152,660,788,603,222,151,
128,100,138,627,825,651,194,116,
110,93,134,642,795,656,185,106,
115,93,116,589,742,666,178,106,
114,90,114,585,726,560,141,114,
113,88,112,597,722,534,153,104,
118,94,111,682,664,569,154,115,
120,93,119,636,652,661,155,116,
104,88,149,668,618,727,171,115,
103,87,143,662,665,626,161,115,
102,89,146,636,635,635,171,115,
100,87,149,674,591,646,161,114,
112,111,159,554,778,603,172,116,
114,117,176,700,863,617,162,110,
115,116,171,718,828,663,160,104,
127,120,167,725,878,673,171,106,
124,116,163,699,900,618,212,115,
115,98,144,731,728,644,206,110,
110,91,139,726,698,668,207,111,
130,106,145,725,731,681,228,119,
114,97,148,716,662,627,213,115,
116,97,144,717,614,645,178,106,
115,97,167,829,769,668,174,107,
116,97,155,709,733,628,172,107,
90,77,149,702,661,607,155,98,
95,82,148,696,689,624,166,98,
87,82,182,860,695,622,162,91,
91,92,172,761,661,551,157,92,
117,112,202,825,802,629,168,110,
119,114,201,832,803,595,181,115,
155,155,201,846,803,640,254,153,
163,156,243,959,836,663,261,155,
163,156,239,1002,721,603,256,157,
157,155,226,962,743,599,272,152,
168,165,240,974,801,595,275,155,
143,135,235,875,827,616,219,126,
133,129,187,800,782,607,214,117,
120,117,176,788,885,606,198,102,
116,115,173,772,859,553,174,101,
100,105,154,786,825,561,170,94,
101,108,138,735,954,582,184,94,
97,100,114,731,942,604,184,92,
105,108,125,671,848,648,193,100,
113,112,122,782,882,641,212,104,
114,114,135,823,982,675,211,105,
102,103,129,878,903,598,190,94,
116,116,137,961,858,531,205,100,
211,120,129,929,835,448,198,95,
358,125,126,816,776,427,191,100,
363,125,126,746,615,388,200,106,
402,132,120,665,475,326,206,110,
463,166,95,308,353,279,175,104,
400,158,97,322,340,271,155,90,
401,150,67,284,224,151,108,70,
368,140,55,257,181,114,59,54,
309,71,53,245,168,95,43,41,
122,41,32,76,65,81,27,30,
99,34,28,63,54,79,26,29,
67,29,30,85,49,82,29,27,
56,28,32,96,49,71,31,25,
38,28,31,100,51,62,29,26,
35,29,36,105,57,58,26,23,
29,30,37,94,53,51,28,25,
28,30,35,86,52,50,25,26,
25,30,31,64,33,33,27,24,
24,29,29,51,33,32,24,26,
24,28,28,35,32,30,23,24,
23,28,30,32,33,29,22,25,
23,27,27,34,35,29,23,25,
22,25,27,33,34,31,22,25,
22,26,27,30,39,30,22,20,
24,27,29,28,96,30,24,22,
25,28,27,27,100,29,27,22,
26,28,27,26,103,31,27,22,
26,27,26,27,105,31,26,21,
27,26,25,28,104,33,27,21,
21,25,26,30,46,39,23,22,
22,26,27,30,42,41,25,22,
21,25,26,30,41,41,26,23,
22,26,26,29,37,42,28,21,
25,26,26,27,36,37,26,20,
24,25,24,25,34,37,29,23,
26,24,23,24,34,38,28,23,
27,26,26,25,34,39,28,24,
26,23,28,24,35,42,28,24,
25,23,27,25,34,42,26,25,
27,22,30,27,35,40,24,23,
24,24,28,27,35,40,25,24,
23,22,28,26,34,39,24,23,
23,24,28,27,32,36,24,24,
24,26,29,26,30,39,29,24,
21,27,28,23,33,41,28,23,
22,25,30,22,29,36,30,24,
23,25,28,22,29,35,29,26,
22,23,27,25,33,39,29,25,
21,23,27,27,35,35,26,25,
23,24,28,29,30,32,25,25,
21,24,26,30,34,42,26,25,
23,25,27,33,35,45,29,24,
23,27,27,31,33,43,29,24,
23,26,25,30,33,43,30,22,
23,25,24,32,42,50,31,22,
26,26,28,34,75,45,31,20,
24,25,26,34,85,42,30,20,
25,25,28,34,85,43,31,20,
25,26,31,38,104,45,33,20,
26,32,38,61,276,88,45,31,
33,34,42,63,281,90,46,31,
35,41,53,77,432,103,64,34,
248,43,60,110,493,131,74,121,
262,46,73,210,521,195,82,133,
266,43,74,288,610,280,94,138,
170,103,155,717,868,618,198,145,
172,112,174,757,850,679,222,152,
163,111,162,683,778,679,229,163,
157,117,174,738,790,722,243,172,
154,116,189,827,785,738,252,173,
146,112,169,754,757,739,251,159,
148,111,157,722,707,703,230,160,
141,109,161,684,697,668,210,145,
167,125,134,564,768,655,209,148,
151,117,143,559,704,595,189,130,
147,116,142,581,797,569,194,128,
152,118,155,619,831,633,214,127,
188,128,156,642,781,533,209,185,
169,115,148,590,725,504,195,171,
175,115,125,561,852,491,188,175,
195,126,130,558,767,545,211,190,
195,126,109,536,750,466,202,191,
155,112,102,448,736,507,201,135,
165,116,108,489,784,534,232,141,
161,115,125,629,695,522,228,143,
136,98,117,610,655,452,201,118,
128,90,113,584,634,432,185,114,
114,87,121,643,672,400,164,110,
99,79,113,636,650,410,106,103,
82,65,89,537,578,390,102,91,
73,64,87,624,565,428,118,82,
71,58,78,547,605,441,119,75,
77,67,94,590,656,393,137,70,
77,66,93,586,651,437,140,70,
74,66,88,482,643,415,136,61,
92,74,92,502,685,424,135,83,
100,77,89,511,614,402,139,86,
93,69,75,454,559,401,119,83,
94,69,84,507,630,347,114,81,
103,78,87,486,637,344,111,81,
81,66,82,474,583,359,108,57,
72,62,83,460,636,372,116,55,
70,60,76,431,591,390,117,61,
72,61,61,302,490,406,118,62,
61,57,56,268,506,416,116,62,
70,60,58,253,498,409,113,63,
65,57,59,252,461,405,91,55,
67,59,62,287,511,407,92,51,
66,63,74,223,516,446,100,52,
67,58,74,225,579,512,108,52,
67,61,75,223,562,463,108,54,
72,66,74,233,512,443,114,68,
75,71,85,271,531,446,126,72,
81,73,86,296,580,379,119,70,
83,75,88,297,575,289,109,69,
82,77,86,292,583,298,120,75,
82,75,84,290,597,299,113,67,
76,70,80,296,623,322,98,63,
68,63,68,293,685,360,93,62,
68,63,65,298,663,366,96,67,
78,62,65,300,686,372,99,64,
81,63,64,320,672,382,103,70,
86,66,74,352,658,335,108,72,
91,74,86,393,641,316,115,73,
87,72,88,406,602,370,147,70,
79,68,87,409,589,361,138,65,
79,68,91,409,646,351,136,65,
81,64,73,320,514,377,140,65,
72,58,71,347,443,355,97,57,
62,55,67,359,350,340,101,55,
64,61,89,359,570,382,108,59,
67,62,89,360,615,369,115,79,
68,65,95,381,617,364,122,79,
75,71,97,361,631,351,124,80,
79,72,92,328,702,350,112,85,
77,70,73,311,554,313,101,82,
69,66,74,286,488,327,95,65,
83,69,69,289,492,437,122,81,
91,69,74,378,522,446,145,88,
90,65,72,362,518,457,151,87,
95,67,69,392,514,454,150,91,
108,74,78,379,599,392,129,83,
109,77,93,334,575,392,124,88,
101,73,92,281,536,461,107,75,
114,79,91,300,611,450,111,83,
98,74,93,315,761,433,115,82,
101,76,84,368,793,420,120,84,
102,79,90,388,811,410,125,87,
94,75,85,385,805,400,124,79,
78,68,83,325,763,387,108,71,
74,63,70,301,510,367,92,62,
69,56,65,206,382,347,83,53,
58,42,40,145,291,200,53,39,
89,39,41,116,184,161,49,37,
92,38,41,117,148,126,41,31,
122,36,36,135,116,87,34,30,
124,37,33,135,105,82,32,28,
129,39,34,151,109,64,29,26,
112,40,34,160,113,60,25,24,
107,42,45,213,149,64,25,23,
65,40,48,202,145,91,29,23,
59,38,45,201,143,93,30,22,
43,37,46,193,134,93,28,24,
37,36,46,188,129,97,29,24,
33,33,35,122,82,93,29,24,
28,30,28,90,60,60,27,23,
26,28,29,78,52,49,26,26,
24,26,27,62,47,48,28,23,
22,25,26,53,40,36,27,24,
23,26,31,56,35,38,27,23,
22,25,34,71,35,40,27,25,
22,24,32,75,37,40,27,23,
23,22,32,74,34,42,27,23,
24,22,25,64,34,39,27,25,
25,22,24,42,34,38,27,26,
26,23,25,32,32,37,28,25,
24,24,25,30,32,39,30,24,
22,23,25,27,33,32,28,23,
43,24,25,26,32,32,28,22,
94,55,26,28,38,35,28,40,
105,59,25,29,38,36,27,41,
106,60,26,29,38,39,27,43,
101,61,25,28,38,37,26,44,
96,62,26,28,36,38,26,44,
60,38,25,26,34,38,23,30,
43,30,25,25,35,40,25,29,
39,30,26,25,34,37,24,24,
37,28,25,24,34,38,25,22,
41,28,25,24,35,36,25,23,
56,28,24,24,34,35,24,22,
53,29,25,25,33,32,23,23,
54,30,25,24,32,34,24,23,
56,29,25,27,33,31,24,22,
52,28,25,27,31,30,24,21,
43,29,26,27,32,31,26,22,
58,28,25,25,32,35,24,21,
59,29,26,25,31,35,25,20,
51,28,27,24,30,37,23,20,
71,28,28,25,32,35,25,22,
73,28,26,24,30,35,24,23,
60,26,27,24,29,34,23,23,
60,27,24,24,30,37,23,24,
71,28,27,24,31,36,24,24,
51,29,27,23,30,36,23,23,
48,29,28,25,33,36,23,23,
48,30,28,26,35,38,23,23,
45,28,28,26,36,38,23,24,
29,29,26,28,34,36,24,21,
27,26,27,27,33,36,24,23,
26,27,27,27,32,35,24,23,
32,28,26,26,32,35,25,22,
33,27,27,26,31,34,24,24,
30,26,26,23,31,34,22,25,
32,25,28,24,34,33,22,25,
41,25,28,26,37,34,24,24,
41,23,29,26,42,32,23,25,
41,25,29,29,59,35,25,23,
41,25,34,36,122,43,27,22,
43,28,37,45,191,44,31,24,
42,31,40,46,217,67,31,25,
55,32,39,46,222,70,32,33,
57,32,40,46,254,108,63,35,
62,35,41,53,254,142,76,43,
65,39,46,183,299,267,78,47,
82,44,127,386,384,363,88,55,
80,55,136,619,446,583,122,59,
86,60,147,653,447,646,129,61,
90,62,149,665,436,654,134,69,
80,67,111,511,453,609,137,88,
74,70,100,523,489,544,129,92,
80,81,99,497,474,524,134,96,
82,92,106,573,466,554,146,93,
87,99,105,634,546,525,140,87,
99,106,105,647,479,536,164,103,
115,108,100,648,443,557,169,113,
109,100,98,647,457,549,184,106,
108,93,90,602,499,480,182,112,
111,93,104,522,483,450,187,112,
