channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,Class
32,30,28,69,63,48,50,33,
34,30,29,103,73,83,76,43,
35,30,29,120,92,95,78,49,
37,31,30,116,87,96,80,50,
35,31,29,122,91,100,86,53,
46,35,30,138,154,157,131,82,
51,37,32,133,163,153,135,90,
54,38,33,182,166,156,143,99,
63,43,33,213,193,191,151,119,
85,48,47,328,305,274,352,227,
160,63,62,372,396,295,371,209,
256,71,78,415,488,328,385,266,
321,88,110,453,646,403,403,420,
365,96,113,465,663,481,377,435,
370,98,116,470,753,498,341,442,
405,90,113,485,731,497,340,452,
408,91,114,474,813,515,329,485,
378,78,99,575,747,491,470,365,
350,82,94,677,729,573,608,361,
362,98,104,844,695,677,651,357,
311,119,110,918,767,724,729,335,
248,124,111,919,631,776,867,300,
270,158,121,904,650,885,955,417,
298,169,130,934,698,897,947,516,
336,180,136,859,701,865,980,625,
382,210,143,903,792,958,1058,812,
412,240,160,1020,991,1081,1119,967,
420,239,161,1104,1031,1033,1163,983,
450,256,185,1112,1037,1066,1175,999,
426,251,183,1094,1036,1095,1152,1005,
449,243,182,1118,931,1072,1123,930,
496,242,173,1074,866,1000,1080,980,
461,238,202,1195,838,1133,1126,1037,
446,240,216,1189,907,1157,1122,1100,
394,241,225,1233,786,1205,1175,1011,
405,254,235,1206,762,1201,1119,1015,
397,233,210,1060,757,1152,1207,1008,
429,240,198,975,791,1189,1140,945,
404,226,199,988,838,1213,1112,945,
442,230,225,1040,929,1178,1032,908,
450,229,219,1222,970,1202,995,879,
524,268,233,1275,798,1122,1209,1077,
525,268,221,1289,793,1100,1136,1154,
561,290,236,1299,752,1053,1143,1068,
541,284,247,1319,800,938,1166,1037,
495,269,227,1296,760,920,1154,952,
415,233,203,1326,771,880,1197,941,
428,218,206,1288,761,912,1195,908,
375,191,184,1246,766,959,1208,966,
360,192,176,1150,676,1036,1129,972,
437,227,194,1103,700,1047,1134,967,
502,235,182,1032,758,1070,1140,1093,
495,253,216,1127,765,1128,1125,1089,
501,253,220,1217,871,1069,1118,1051,
536,268,231,1201,891,1032,1108,985,
534,266,223,1177,837,1091,1149,1056,
491,243,183,1055,724,1121,1046,939,
437,216,186,1198,870,1167,974,862,
446,221,203,1179,897,1111,929,869,
403,201,193,1337,943,1166,926,737,
